OBJECTID,JUR,PARID,CARD,TAXYR,SEQ,CUR,WHO,WEN,WHOCALC,WENCALC,STATUS,STORIES,EXTWALL,STYLE,YRBLT,EFFYR,YRREMOD,RMTOT,RMBED,RMFAM,FIXBATH,FIXHALF,FIXADDL,FIXTOT,PLUMVAL,REMKIT,REMBATH,BSMT,BSMTVAL,HEAT,FUEL,HEATSYS,HEATVAL,ATTIC,ATTICVAL,INTEXT,MASTRIMW,MASTRIML,MASTRIMAREA,TRIMVAL,UNFINW,UNFINL,UNFINAREA,UNFINVAL,RECROMW,RECROML,RECROMAREA,RECVAL,FINBSMTW,FINBSMTL,FINBSMTAREA,FINBSMTVAL,UFEATW,UFEATL,UFEATAREA,UFEATVAL,WBFP_O,WBFP_S,WBFP_X,WBFP_PF,WBFP_PFX,WBFPVAL,BSMTCAR,BGARVAL,MSC1DES,MSC1NUM,MSC1VAL,MSC2DES,MSC2NUM,MSC2VAL,CONDOLVL,CONDOTYP,CONDOVW,CNDCMPLX,CLINE,UNITNO,CNDBASEVAL,CNDADJVAL,GRMUNITS,GRMRENT,ADJGRMFACT,RESGRMVAL,MGFA,SFLA,FLR1AREA,ADJAREA,AREAFACT,SHFACT,CNSTFACT,CNSTVAL,SUBTVAL,GRADE,GRDFACT,CDDESC,CDPCT,USERFACT,USERAMT,LOCMULT,BASERCN,RCNVAL,CDU,DEPR,MKTADJ,MKTRSN,BASERCNLD,ADDNAREA,ADDNVAL,RCNLD,ADJFACT,PCTCOMPLETE,ADJRCNLD,NOTE1,NOTE2,CLASS,DEGREM,COND,VALMETH,RECTYPE,RESMOD,MODOVER,EXMPPCTOVER,EXMPPCT,EXMPVAL,AREASUM,OBSDEP,OBSRSN,FUNDEP,FUNRSN,ECNDEP,ECNRSN,BLDGUSE,CONVBLDG,CHGRSN,DEPRT,USER1,USER2,USER3,USER4,USER5,USER6,USER7,USER8,USER9,USER10,USER11,USER12,USER13,USER14,USER15,USER16,USER17,USER18,USER19,USER20,DEACTIVAT,SALEKEY,IASW_ID,TRANS_ID,UPD_STATUS
1010233,000,0205556,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:38:37,3,1.0,6,41,1952,None,None,6,2,None,1,None,2,5,0,None,None,1,0,3,2,1,1900,4,13000,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,816,1142,816,820,0.777999997139,1.0,1.0,87770,109200,None,1.14999997616,None,None,1.0,0.0,1.0,125580.0,125580.0,AV,57,None,None,70860.0,0,6530.0,70860.0,0.949999988079,None,67320.0,None,None,None,None,None,D,R,1,None,None,100.0,67320.0,816.0,None,None,None,None,99,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96553e+008,None,None
1010313,000,5618255,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:44:56,3,1.0,5,36,2006,None,None,9,4,None,3,1,2,13,8000,None,None,1,0,3,2,1,4840,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,1500,35600,None,None,None,0,None,None,None,3,None,6100,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,2888,4388,2888,2890,1.98699998856,1.0,1.0,224130,314910,None,1.29999995232,None,None,1.0,0.0,1.0,409383.0,409380.0,GD,95,None,None,369470.0,0,36240.0,369470.0,0.949999988079,None,351000.0,None,None,None,None,None,D,R,1,None,None,100.0,351000.0,2888.0,None,None,None,None,95,72,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96555e+008,None,None
1010410,000,0901782,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 09:02:29.000001,3,1.0,6,34,1961,None,None,6,3,None,2,1,2,10,5000,None,None,1,0,3,2,1,2410,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,None,None,0,1,3800,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,1176,1176,1176,1180,0.987999975681,1.0,1.0,111480,124400,None,1.04999995232,None,None,1.0,0.0,1.0,130620.0,130620.0,GD,69,None,None,90130.0,0,1710.0,90130.0,0.899999976158,None,81120.0,None,None,None,None,None,None,R,1,None,None,100.0,81120.0,1176.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96557e+008,None,None
1010504,000,0901619,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:38:15,3,2.0,6,33,1969,None,None,11,4,1,2,2,2,12,7000,None,None,1,0,3,2,1,2740,1,0,None,None,None,None,0,None,None,None,0,None,None,180,1400,None,None,None,0,None,None,None,0,1,1,None,None,None,3000,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,770,2575,770,770,0.749000012875,1.5,1.0,126710,217130,160,1.60000002384,None,None,1.0,0.0,1.0,347408.0,347410.0,AV,64,None,None,213450.0,1035,76280.0,213450.0,0.899999976158,None,192110.0,None,None,None,None,None,None,R,1,None,None,100.0,192110.0,1540.0,None,None,None,None,96,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96556e+008,None,None
1010595,000,0203195,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:28:01.000001,3,1.0,6,41,1940,None,None,7,4,None,2,1,2,10,5000,None,None,1,0,3,2,1,2010,4,13780,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,1,1,None,None,None,3000,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,896,1694,896,900,0.824999988079,1.0,1.0,93040,146710,None,1.14999997616,None,None,1.0,0.0,1.0,168717.0,168720.0,AV,50,None,None,100390.0,440,29880.0,100390.0,0.949999988079,None,95370.0,None,None,None,None,None,D,R,1,None,None,100.0,95370.0,896.0,None,None,None,None,119,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96559e+008,None,None
1055250,000,6005424,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 09:01:40,3,1.0,2,34,1957,None,None,5,3,None,1,1,2,7,2000,None,None,1,0,3,2,1,2350,1,0,None,None,None,None,0,None,None,None,0,None,None,600,4500,None,None,None,0,None,None,None,0,1,1,None,None,None,3000,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,1144,1144,1144,1140,0.964999973774,1.0,1.11099994183,120930,156520,None,0.949999988079,None,None,1.0,0.0,1.0,148694.0,148690.0,AV,60,None,None,88320.0,0,23740.0,88320.0,0.990000009537,None,87440.0,None,None,None,None,None,None,R,1,None,None,100.0,87440.0,1144.0,None,None,None,None,99,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96693e+008,None,None
1055251,000,6005425,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 09:00:53,3,1.0,6,34,1959,None,None,5,3,None,1,None,2,5,0,None,None,1,0,2,2,1,0,1,0,None,None,None,None,0,None,None,None,0,None,None,800,6000,None,None,None,0,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,1107,1107,1107,1110,0.947000026703,1.0,1.0,106870,125870,None,1.0,None,None,1.0,0.0,1.0,125870.0,125870.0,AV,60,None,None,75520.0,0,13000.0,75520.0,0.870000004768,None,65700.0,None,None,None,None,None,None,R,1,None,None,100.0,65700.0,1107.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96693e+008,None,None
1055252,000,6005426,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:54:17.000001,3,1.0,4,34,1942,None,None,5,2,None,1,None,2,5,0,None,None,0,-9440,2,2,1,0,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,772,772,772,770,0.749000012875,1.0,1.0,84470,80700,None,1.04999995232,None,None,1.0,0.0,1.0,84735.0,84740.0,AV,55,None,None,31690.0,0,5670.0,31690.0,0.899999976158,None,28520.0,None,None,None,None,None,None,R,1,None,None,100.0,28520.0,772.0,None,None,None,None,68,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96693e+008,None,None
1055253,000,6005427,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:28:50,3,1.0,6,39,1948,None,None,7,3,None,2,None,2,8,3000,None,None,1,0,3,2,1,2650,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,572,13600,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,1352,1924,1352,1350,1.08800005913,1.0,1.0,122680,157360,None,1.0,None,None,1.0,0.0,1.0,157360.0,157360.0,AV,57,None,None,89700.0,0,15430.0,89700.0,0.819999992847,None,73550.0,None,None,None,None,None,D,R,1,None,None,100.0,73550.0,1352.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96693e+008,None,None
1055254,000,6005428,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:38:53,3,1.0,6,34,1930,None,None,6,3,None,1,None,2,5,0,None,None,1,0,3,2,1,2040,1,0,None,None,None,None,0,None,None,None,0,None,None,280,2100,None,None,None,0,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,920,1080,920,920,0.836000025272,1.0,1.0,94360,111340,None,1.0,None,None,1.0,0.0,1.0,111340.0,111340.0,AV,50,None,None,59010.0,160,12840.0,59010.0,0.819999992847,None,48390.0,None,None,None,None,None,D,R,1,None,None,100.0,48390.0,920.0,None,None,None,None,106,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.967e+008,None,None
